world,arm,uid,ic_uid,stage,n_rows,path_len,net_disp,tortuosity,idle_frac,wander,mean_step,eef_std_x,eef_std_y,eef_std_z,reward_sum
w3,dDP,102004,257,picked,81,0.4773,0.0993,4.806,0.0,0.0768,0.00589,0.0501,0.0321,0.0213,1.0
w3,dDP,102005,274,picked,113,0.5414,0.1212,4.466,0.0,0.0409,0.00479,0.0488,0.0224,0.0434,1.0
w3,dDP,102006,283,picked,136,0.3786,0.1517,2.496,0.0,0.0617,0.00278,0.0374,0.0413,0.0192,1.0
w3,dDP,102007,297,picked,89,0.4059,0.1588,2.556,0.0,0.0553,0.00456,0.0358,0.0205,0.0358,1.0
w3,dDP,102008,305,picked,42,0.2854,0.1025,2.786,0.0,0.0472,0.0068,0.0386,0.0179,0.0215,1.0
w3,dDP,102009,316,picked,168,0.5499,0.1534,3.584,0.0,0.0551,0.00327,0.04,0.028,0.0294,1.0
w3,dDP,102010,327,picked,122,0.7235,0.1827,3.96,0.0,0.0602,0.00593,0.0266,0.0685,0.0667,1.0
w3,dDP,102011,262,picked,48,0.3387,0.1358,2.494,0.0,0.0612,0.00706,0.0465,0.017,0.0306,1.0
w3,dDP,102012,319,picked,113,0.5538,0.1655,3.346,0.0,0.0441,0.0049,0.0338,0.0226,0.0211,1.0
w3,dDP,103000,242,picked,57,0.478,0.1684,2.838,0.0,0.0588,0.00839,0.0463,0.0254,0.0275,1.0
w3,dDP,103001,250,picked,135,0.4741,0.2079,2.28,0.0,0.0714,0.00351,0.0401,0.0429,0.0293,1.0
w3,dDP,103002,258,picked,73,0.4411,0.084,5.249,0.0,0.0774,0.00604,0.0469,0.0208,0.0206,1.0
w3,dDP,103003,276,picked,137,0.479,0.1727,2.774,0.0,0.038,0.0035,0.0522,0.0691,0.0309,1.0
w3,dDP,103004,284,picked,88,0.2688,0.0833,3.227,0.0,0.0666,0.00305,0.031,0.0067,0.0237,1.0
w3,dDP,103005,298,picked,118,0.5306,0.1211,4.381,0.0,0.0397,0.0045,0.0491,0.0213,0.0432,1.0
w3,dDP,103006,306,picked,162,0.9228,0.206,4.481,0.0,0.0618,0.0057,0.0448,0.0753,0.0244,1.0
w3,dDP,103007,317,picked,65,0.3325,0.1064,3.124,0.0,0.0487,0.00512,0.0366,0.0163,0.0239,1.0
w3,dDP,103008,328,picked,212,0.8105,0.1479,5.479,0.0,0.0534,0.00382,0.0432,0.051,0.0604,1.0
w3,dDP,103009,266,picked,147,0.4231,0.1115,3.794,0.0,0.0433,0.00288,0.023,0.0068,0.0281,1.0
w3,dDP,103010,321,picked,113,0.3388,0.1154,2.937,0.0,0.0625,0.003,0.0277,0.0072,0.0217,1.0
w3,dDP,104000,243,picked,57,0.3487,0.1289,2.705,0.0,0.0498,0.00612,0.0525,0.0191,0.034,1.0
w3,dDP,104001,251,picked,142,0.3888,0.1599,2.432,0.0,0.0554,0.00274,0.0291,0.0293,0.028,1.0
w3,dDP,104002,263,picked,105,0.7597,0.1542,4.928,0.0,0.0823,0.00723,0.04,0.0602,0.0379,1.0
w3,dDP,104003,277,picked,72,0.3141,0.0962,3.266,0.0,0.0402,0.00436,0.0329,0.0065,0.0326,1.0
w3,dDP,104005,299,picked,177,0.9274,0.2198,4.22,0.0,0.0713,0.00524,0.0464,0.0807,0.0243,1.0
w3,dDP,104007,308,picked,144,0.5617,0.1353,4.151,0.0,0.0548,0.0039,0.0422,0.0278,0.0236,1.0
