learner,dataset,seed,in_design,home,picked,cells,excluded_reason
{DreamerV3 losses},r2teacher,6,True,0.2833333333333333,0.5666666666666667,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/R2T/evaluation/full_r2d_state_native_rns10h_img_dreamer_s6/online_1500000/rnd30_sample/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/R2T/evaluation/full_r2d_state_native_rns10h_img_dreamer_s6/online_2000000/rnd30_sample/metrics.json,
{DreamerV3 losses},r2teacher,7,True,,,,no sampled cell yet
{r2dreamer},human,3,True,0.5833333333333333,0.6333333333333333,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s3/online_1500000/rnd30_sample/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s3/online_2000000/rnd30_sample/metrics.json,
{r2dreamer},human,4,True,0.5,0.6666666666666666,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s4/online_1500000/rnd30_sample/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s4/online_2000000/rnd30_sample/metrics.json,
{r2dreamer},human,5,True,0.55,0.7333333333333333,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s5/online_1500000/rnd30_sample/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s5/online_2000000/rnd30_sample/metrics.json,
{r2dreamer},human,6,True,0.6166666666666667,0.6666666666666667,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s6/online_1500000/rnd30_sample/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s6/online_2000000/rnd30_sample/metrics.json,
{r2dreamer},human,7,True,0.6666666666666666,0.7,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s7/online_1500000/rnd30_sample/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s7/online_2000000/rnd30_sample/metrics.json,
{r2dreamer},human,8,True,0.6166666666666667,0.75,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s8/online_1500000/rnd30_sample/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s8/online_2000000/rnd30_sample/metrics.json,
{r2dreamer},human,9,True,0.6833333333333333,0.75,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s9/online_1500000/rnd30_sample/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s9/online_2000000/rnd30_sample/metrics.json,
{r2dreamer},human,10,True,0.4666666666666667,0.75,/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s10/online_1500000/rnd30_sample/metrics.json;/home/j/data/genesis_pickaplace/px_analysis_2026-09-14/W/ln_milestone_cells/full_r2d_state_dHfull_all_rns10h_img_r2dreamer_s10/online_2000000/rnd30_sample/metrics.json,
