comparison,arm_role,arm,seed,k,n,cell,statistic,action_mode,source,path
pick_spots60_dp,human,dH,26,51,60,selected_spots60/spots60,picked,sample,cluster:dp,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dH_DP_s26/sweep/selected_spots60/sweep.json
pick_spots60_dp,human,dH,27,55,60,selected_spots60/spots60,picked,sample,cluster:dp,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dH_DP_s27/sweep/selected_spots60/sweep.json
pick_spots60_dp,human,dH,28,50,60,selected_spots60/spots60,picked,sample,cluster:dp,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dH_DP_s28/sweep/selected_spots60/sweep.json
pick_spots60_dp,human,dH,29,50,60,selected_spots60/spots60,picked,sample,cluster:dp,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dH_DP_s29/sweep/selected_spots60/sweep.json
pick_spots60_dp,machine,dDP,20,50,60,selected_spots60/spots60,picked,sample,cluster:dp,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dDP_DP_s20/sweep/selected_spots60/sweep.json
pick_spots60_dp,machine,dDP,21,53,60,selected_spots60/spots60,picked,sample,cluster:dp,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dDP_DP_s21/sweep/selected_spots60/sweep.json
pick_spots60_dp,machine,dDP,22,49,60,selected_spots60/spots60,picked,sample,cluster:dp,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dDP_DP_s22/sweep/selected_spots60/sweep.json
pick_spots60_dp,machine,dDP,23,55,60,selected_spots60/spots60,picked,sample,cluster:dp,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dDP_DP_s23/sweep/selected_spots60/sweep.json
pick_spots60_dp,machine,dDP,24,52,60,selected_spots60/spots60,picked,sample,cluster:dp,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dDP_DP_s24/sweep/selected_spots60/sweep.json
pick_spots60_dp,machine,dDP,25,53,60,selected_spots60/spots60,picked,sample,cluster:dp,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dDP_DP_s25/sweep/selected_spots60/sweep.json
pick_spots60_dp,machine,dDP,26,54,60,selected_spots60/spots60,picked,sample,cluster:dp,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dDP_DP_s26/sweep/selected_spots60/sweep.json
pick_spots60_dp,machine,dDP,27,55,60,selected_spots60/spots60,picked,sample,cluster:dp,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dDP_DP_s27/sweep/selected_spots60/sweep.json
pick_spots60_dp,machine,dDP,28,52,60,selected_spots60/spots60,picked,sample,cluster:dp,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dDP_DP_s28/sweep/selected_spots60/sweep.json
pick_spots60_dp,machine,dDP,29,51,60,selected_spots60/spots60,picked,sample,cluster:dp,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dDP_DP_s29/sweep/selected_spots60/sweep.json
pick_spots60_dp_asrecorded,human,dH,20,53,60,selected_spots60/spots60,picked,sample,cluster:dp,/cluster/tufts/shortlab/jstale02/genesis_pickaplace/baselines/outputs/dp_w2final/dH_DP_s20/sweep/selected_spots60/sweep.json
